,LotShape,LotConfig,BldgType,ExterQual,Foundation,BsmtQual,BsmtFinType1,HeatingQC,KitchenQual,FireplaceQu,GarageType,GarageFinish
0,9.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
1,9.0,7.0,2.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,6.0,2.0
2,7.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,6.0,2.0
3,7.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,1.0
4,7.0,7.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,6.0,2.0
5,7.0,2.0,2.0,3.0,1.0,4.0,6.0,5.0,3.0,0.0,6.0,1.0
6,9.0,2.0,2.0,4.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,2.0
7,7.0,4.0,2.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,6.0,2.0
8,9.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0
9,9.0,4.0,4.0,3.0,4.0,3.0,6.0,5.0,3.0,3.0,6.0,2.0
10,9.0,2.0,2.0,3.0,5.0,3.0,3.0,5.0,3.0,0.0,2.0,1.0
11,7.0,2.0,2.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,3.0
12,5.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,0.0,2.0,1.0
13,7.0,2.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,4.0,6.0,2.0
14,7.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,6.0,2.0
15,9.0,4.0,2.0,3.0,4.0,3.0,1.0,5.0,3.0,0.0,2.0,1.0
16,7.0,5.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,6.0,3.0
17,9.0,2.0,5.0,3.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0
18,9.0,2.0,2.0,3.0,6.0,3.0,6.0,5.0,4.0,0.0,2.0,1.0
19,9.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,0.0,6.0,1.0
20,7.0,4.0,2.0,4.0,6.0,5.0,1.0,5.0,4.0,4.0,4.0,2.0
21,9.0,2.0,2.0,3.0,6.0,3.0,1.0,5.0,4.0,4.0,6.0,1.0
22,9.0,2.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,4.0,6.0,2.0
23,9.0,2.0,7.0,3.0,6.0,4.0,6.0,3.0,3.0,3.0,6.0,1.0
24,7.0,2.0,2.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,6.0,1.0
25,9.0,4.0,2.0,4.0,6.0,4.0,1.0,5.0,4.0,4.0,6.0,2.0
26,9.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,0.0,2.0,1.0
27,9.0,2.0,2.0,4.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,2.0
28,7.0,5.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,6.0,2.0
29,7.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0
30,9.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,0.0,2.0,1.0
31,7.0,5.0,2.0,3.0,5.0,3.0,1.0,4.0,4.0,0.0,6.0,1.0
32,9.0,4.0,2.0,4.0,6.0,5.0,1.0,5.0,4.0,0.0,6.0,2.0
33,7.0,2.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,6.0,2.0
34,9.0,2.0,7.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0
35,9.0,2.0,2.0,4.0,6.0,5.0,1.0,5.0,4.0,4.0,4.0,3.0
36,9.0,4.0,2.0,3.0,6.0,4.0,1.0,5.0,3.0,0.0,6.0,1.0
37,9.0,2.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,6.0,3.0
38,9.0,2.0,2.0,3.0,5.0,3.0,6.0,3.0,4.0,0.0,2.0,1.0
39,9.0,2.0,5.0,3.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
40,9.0,2.0,2.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,6.0,2.0
41,9.0,2.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,6.0,2.0
