,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,YrBltAndRemod,TotalSF,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace
0,60,RL,18.144573408893123,13.83305450819452,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,3.9915168749775227,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,19.433173286595053,Gd,TA,PConc,Gd,TA,No,GLQ,144.11783336015793,Unf,0.0,29.991054876602757,422.4885440467725,GasA,Ex,Y,SBrkr,5.939033174095268,1025.6517681699074,0.0,8.353542194593834,0.9934397235753302,0.0,2,1.068836635008358,3,0.7509568577639583,Gd,2.261968016798387,Typ,0.0,None,Attchd,2003.0,RFn,2.0,548.0,TA,TA,Y,0.0,12.080309072742553,0.0,0.0,0.0,0.0,None,None,0.0,2,2008,WD,Normal,4006,1454.0793453907752,1175.7086347041607,3.5278580410795093,12.080309072742553,0,1,1,1,0
1,20,RL,20.67362593393017,14.117918060193919,None,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,6.000032966802397,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,181.7191470966014,Unf,0.0,44.13541423171603,593.8882300782932,GasA,Ex,Y,SBrkr,6.234989668870268,0.0,0.0,7.974692477980365,0.0,0.7108953440828516,2,0.0,3,0.7509568577639583,TA,1.9965773170801218,Typ,0.9033340459133361,TA,Attchd,1976.0,RFn,2.0,460.0,TA,TA,Y,56.18422049804779,0.0,0.0,0.0,0.0,0.0,None,None,0.0,5,2007,WD,Normal,3952,600.1232197471635,187.95413676547167,2.355447672041426,56.18422049804779,0,0,1,1,1
2,60,RL,18.668047203263406,14.476512728781682,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,3.9915168749775227,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,17.76883888590525,Gd,TA,PConc,Gd,TA,Mn,GLQ,110.44101265090792,Unf,0.0,56.896534175019745,450.0797530218704,GasA,Ex,Y,SBrkr,5.99433530779864,1040.5208455962093,0.0,8.408062868176502,0.9934397235753302,0.0,2,1.068836635008358,3,0.7509568577639583,Gd,1.9965773170801218,Typ,0.9033340459133361,TA,Attchd,2001.0,RFn,2.0,608.0,TA,TA,Y,0.0,9.901080866392308,0.0,0.0,0.0,0.0,None,None,0.0,9,2008,WD,Normal,4003,1496.5949339258782,1156.956193554916,3.5278580410795093,9.901080866392308,0,1,1,1,1
3,70,RL,17.24965123682584,14.106196802222641,None,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,3.9915168749775227,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,61.79530495119363,Unf,0.0,64.80885602088904,378.8545976494945,GasA,Gd,Y,SBrkr,6.027703418502337,904.477239980772,0.0,8.358661022721607,0.9934397235753302,0.0,1,0.0,3,0.7509568577639583,Gd,2.137369407365849,Typ,0.9033340459133361,Gd,Detchd,1998.0,Unf,3.0,642.0,TA,TA,Y,0.0,8.966115611785321,16.02071011169091,0.0,0.0,0.0,None,None,0.0,2,2006,WD,Abnorml,3885,1289.3595410487687,972.3002483504679,1.9934397235753303,24.98682572347623,0,1,1,1,1
4,60,RL,21.314283367919522,15.022008442784955,None,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,3.9915168749775227,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,25.404162029432257,Gd,TA,PConc,Gd,TA,Av,GLQ,136.62457389269105,Unf,0.0,61.16637783111134,545.3099733302041,GasA,Ex,Y,SBrkr,6.161220672708799,1273.0245921054268,0.0,8.66931997096758,0.9934397235753302,0.0,2,1.068836635008358,4,0.7509568577639583,Gd,2.3737528809133264,Typ,0.9033340459133361,TA,Attchd,2000.0,RFn,3.0,836.0,TA,TA,Y,42.24570005622873,14.271568671390895,0.0,0.0,0.0,0.0,None,None,0.0,12,2008,WD,Normal,4000,1824.4957861083399,1415.8103866708266,3.5278580410795093,56.51726872761962,0,1,1,1,1
5,50,RL,21.472481223453105,14.998257290467151,None,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,3.9915168749775227,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,147.87645329586672,Unf,0.0,17.718037452220802,396.38900872686554,GasA,Ex,Y,SBrkr,5.883143177761822,671.0295623825237,0.0,8.069452823272492,0.9934397235753302,0.0,1,1.068836635008358,1,0.7509568577639583,TA,1.8346586108242808,Typ,0.0,None,Attchd,1993.0,Unf,2.0,480.0,TA,TA,Y,14.912199039731856,8.235429948672886,0.0,7.1146539425163375,0.0,0.0,MnPrv,Shed,6.937473557051831,10,2009,WD,Normal,3988,1073.301714287151,824.7891588561523,2.5278580410795093,30.26228293092108,0,1,1,1,0
6,20,RL,19.85405093262318,14.228589409790276,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,3.9915168749775227,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,18.962282475671948,Gd,TA,PConc,Ex,TA,Av,GLQ,230.75566882363384,Unf,0.0,47.147311063596035,765.6414178774443,GasA,Ex,Y,SBrkr,6.456544088568059,0.0,0.0,8.341765347133872,0.9934397235753302,0.0,2,0.0,3,0.7509568577639583,Gd,2.137369407365849,Typ,0.9033340459133361,Gd,Attchd,2004.0,RFn,2.0,636.0,TA,TA,Y,50.79469365022053,11.655819012197735,0.0,0.0,0.0,0.0,None,None,0.0,8,2007,WD,Normal,4009,772.0979619660123,237.2122129122019,2.9934397235753303,62.45051266241826,0,0,1,1,1
7,60,RL,20.67362593393017,14.294344745940982,None,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,4.679500606095132,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,21.355328779724367,TA,TA,CBlock,Gd,TA,Mn,ALQ,165.70573669175593,BLQ,4.749196443108804,37.422803636439816,529.4026231498699,GasA,Ex,Y,SBrkr,6.135566393908239,1185.8240066931721,0.0,8.605750607103676,0.9934397235753302,0.0,2,1.068836635008358,3,0.7509568577639583,TA,2.137369407365849,Typ,1.6882543888973123,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,48.17485933555591,22.3295380253663,14.958217352671856,0.0,0.0,0.0,None,Shed,6.167518123008582,11,2009,WD,Normal,3946,1721.3621962369502,1362.4145062219452,3.5278580410795093,85.46261471359406,0,1,1,1,1
8,50,RM,15.558091112452379,13.12698848420362,None,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,3.9915168749775227,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,90.70348638800957,463.7854329981766,GasA,Gd,Y,FuseF,6.074708863501911,899.5414923152899,0.0,8.399605598749247,0.0,0.0,2,0.0,2,1.2485433052031065,TA,2.261968016798387,Min1,1.6882543888973123,TA,Detchd,1931.0,Unf,2.0,468.0,Fa,TA,Y,25.69355110255358,0.0,14.347074771095054,0.0,0.0,0.0,None,None,0.0,4,2008,WD,Abnorml,3881,1369.4016341769684,905.6162011787918,2.0,40.04062587364864,0,1,1,1,1
9,190,RL,15.362900421095816,13.546135829260441,None,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,4.679500606095132,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,164.60660983018892,Unf,0.0,28.754168649706095,480.4124771451983,GasA,Ex,Y,SBrkr,6.114658796098237,0.0,0.0,7.778428030799475,0.9934397235753302,0.0,1,0.0,2,1.2485433052031065,TA,1.8346586108242808,Typ,1.6882543888973123,TA,Attchd,1939.0,RFn,1.0,205.0,Gd,TA,Y,0.0,2.3670774602511186,0.0,0.0,0.0,0.0,None,None,0.0,1,2008,WD,Normal,3889,486.52713594129654,170.72126862628716,1.9934397235753303,2.3670774602511186,0,0,1,1,1
