categorical,
1,Alley
1,BsmtCond
1,BsmtExposure
1,BsmtFinType1
1,BsmtFinType2
1,BsmtQual
1,CentralAir
1,ExterCond
1,ExterQual
1,Fence
1,FireplaceQu
1,Functional
1,GarageCond
1,GarageFinish
1,GarageQual
1,HeatingQC
1,KitchenQual
1,LandSlope
1,LotShape
1,MoSold
1,MSSubClass
1,OverallCond
1,PavedDrive
1,PoolQC
1,Street
1,YrSold
,1stFlrSF
,2ndFlrSF
,3SsnPorch
,BedroomAbvGr
,BldgType
,BsmtFinSF1
,BsmtFinSF2
,BsmtFullBath
,BsmtHalfBath
,BsmtUnfSF
,Condition1
,Condition2
,Electrical
,EnclosedPorch
,Exterior1st
,Exterior2nd
,Fireplaces
,Foundation
,FullBath
,GarageArea
,GarageCars
,GarageType
,GarageYrBlt
,GrLivArea
,HalfBath
,Heating
,HouseStyle
,KitchenAbvGr
,LandContour
,LotArea
,LotConfig
,LotFrontage
,LowQualFinSF
,MasVnrArea
,MasVnrType
,MiscFeature
,MiscVal
,MSZoning
,Neighborhood
,OpenPorchSF
,OverallQual
,PoolArea
,RoofMatl
,RoofStyle
,SaleCondition
,SalePrice
,SaleType
,ScreenPorch
,TotalBsmtSF
,TotRmsAbvGrd
,WoodDeckSF
,YearBuilt
,YearRemodAdd
