,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Total_SF,Total_Bathrooms,Total_porch_sf
0,10,5,65.0,8450,1,0,9,Lvl,9,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,3,2,6,0.0,150.0,856.0,GasA,5,1,SBrkr,856,0,1710,1.0,0.0,2,1,3,1,4,8,6,0,0,1,2003.0,2,2.0,548.0,3,3,2,0,0,0,0,0,4,None,0,4,2,WD,Normal,2566.0,3.5,61
1,5,5,80.0,9600,1,0,9,Lvl,9,FR2,3,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,3,3,CBlock,4,3,1,0,6,0.0,284.0,1262.0,GasA,5,1,SBrkr,1262,0,1262,0.0,1.0,2,0,3,1,3,6,6,1,3,1,1976.0,2,2.0,460.0,3,3,2,0,0,0,0,0,4,None,0,7,1,WD,Normal,2524.0,2.5,298
2,10,5,68.0,11250,1,0,7,Lvl,9,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,2,2,6,0.0,434.0,920.0,GasA,5,1,SBrkr,920,0,1786,1.0,0.0,2,1,3,1,4,6,6,1,3,1,2001.0,2,2.0,608.0,3,3,2,0,0,0,0,0,4,None,0,11,2,WD,Normal,2706.0,3.5,42
3,11,5,60.0,9550,1,0,7,Lvl,9,Corner,3,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,3,3,BrkTil,3,4,3,0,6,0.0,540.0,756.0,GasA,4,1,SBrkr,961,0,1717,1.0,0.0,1,0,3,1,4,7,6,1,4,5,1998.0,3,3.0,642.0,3,3,2,272,0,0,0,0,4,None,0,4,0,WD,Abnorml,2473.0,2.0,307
4,10,5,84.0,14260,1,0,7,Lvl,9,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,0,2,6,0.0,490.0,1145.0,GasA,5,1,SBrkr,1145,0,2198,1.0,0.0,2,1,4,1,4,9,6,1,3,1,2000.0,2,3.0,836.0,3,3,2,0,0,0,0,0,4,None,0,3,2,WD,Normal,3343.0,3.5,276
5,9,5,85.0,14115,1,0,7,Lvl,9,Inside,3,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,3,3,Wood,4,3,3,2,6,0.0,64.0,796.0,GasA,5,1,SBrkr,796,0,1362,1.0,0.0,1,1,1,1,3,5,6,0,0,1,1993.0,3,2.0,480.0,3,3,2,0,320,0,0,0,2,Shed,700,1,3,WD,Normal,2158.0,2.5,390
6,5,5,75.0,10084,1,0,9,Lvl,9,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,5,3,0,2,6,0.0,317.0,1686.0,GasA,5,1,SBrkr,1694,0,1694,1.0,0.0,2,0,3,1,4,7,6,1,4,1,2004.0,2,2.0,636.0,3,3,2,0,0,0,0,0,4,None,0,10,1,WD,Normal,3380.0,3.0,312
7,10,5,80.0,10382,1,0,7,Lvl,9,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,3,3,CBlock,4,3,2,0,1,32.0,216.0,1107.0,GasA,5,1,SBrkr,1107,0,2090,1.0,0.0,2,1,3,1,3,7,6,2,3,1,1973.0,2,2.0,484.0,3,3,2,228,0,0,0,0,4,Shed,350,2,3,WD,Normal,3197.0,3.5,667
8,9,8,51.0,6120,1,0,9,Lvl,9,Inside,3,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,3,3,BrkTil,3,3,3,6,6,0.0,952.0,952.0,GasA,4,1,FuseF,1022,0,1774,0.0,0.0,2,0,2,2,3,8,2,2,3,5,1931.0,3,2.0,468.0,2,3,2,205,0,0,0,0,4,None,0,6,2,WD,Abnorml,2726.0,2.0,295
9,4,5,50.0,7420,1,0,9,Lvl,9,Corner,3,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,3,3,BrkTil,3,3,3,2,6,0.0,140.0,991.0,GasA,5,1,SBrkr,1077,0,1077,1.0,0.0,1,0,2,2,3,5,6,2,3,1,1939.0,2,1.0,205.0,4,3,2,0,0,0,0,0,4,None,0,0,2,WD,Normal,2068.0,2.0,4
