,Total,Percent
PoolQC,2908,99.69146383270483
MiscFeature,2812,96.4004113815564
Alley,2719,93.21220431950634
Fence,2346,80.42509427494001
FireplaceQu,1420,48.680150839904016
LotFrontage,486,16.660953033938977
GarageCond,159,5.450805622214604
GarageQual,159,5.450805622214604
GarageYrBlt,159,5.450805622214604
GarageFinish,159,5.450805622214604
GarageType,157,5.382242029482344
BsmtCond,82,2.811107302022626
BsmtExposure,82,2.811107302022626
BsmtQual,81,2.7768255056564963
BsmtFinType2,80,2.742543709290367
BsmtFinType1,79,2.7082619129242373
MasVnrType,24,0.82276311278711
MasVnrArea,23,0.7884813164209805
MSZoning,4,0.13712718546451835
BsmtHalfBath,2,0.06856359273225918
Utilities,2,0.06856359273225918
Functional,2,0.06856359273225918
BsmtFullBath,2,0.06856359273225918
BsmtFinSF2,1,0.03428179636612959
BsmtFinSF1,1,0.03428179636612959
Exterior2nd,1,0.03428179636612959
BsmtUnfSF,1,0.03428179636612959
TotalBsmtSF,1,0.03428179636612959
Exterior1st,1,0.03428179636612959
SaleType,1,0.03428179636612959
Electrical,1,0.03428179636612959
KitchenQual,1,0.03428179636612959
GarageArea,1,0.03428179636612959
GarageCars,1,0.03428179636612959
OverallQual,0,0.0
OverallCond,0,0.0
LotArea,0,0.0
Street,0,0.0
LotShape,0,0.0
LandContour,0,0.0
LotConfig,0,0.0
LandSlope,0,0.0
Neighborhood,0,0.0
Condition1,0,0.0
Condition2,0,0.0
BldgType,0,0.0
RoofMatl,0,0.0
HouseStyle,0,0.0
RoofStyle,0,0.0
YearRemodAdd,0,0.0
YearBuilt,0,0.0
SaleCondition,0,0.0
HeatingQC,0,0.0
ExterQual,0,0.0
ExterCond,0,0.0
YrSold,0,0.0
MoSold,0,0.0
MiscVal,0,0.0
PoolArea,0,0.0
ScreenPorch,0,0.0
3SsnPorch,0,0.0
EnclosedPorch,0,0.0
OpenPorchSF,0,0.0
WoodDeckSF,0,0.0
PavedDrive,0,0.0
Fireplaces,0,0.0
TotRmsAbvGrd,0,0.0
KitchenAbvGr,0,0.0
BedroomAbvGr,0,0.0
HalfBath,0,0.0
FullBath,0,0.0
GrLivArea,0,0.0
LowQualFinSF,0,0.0
2ndFlrSF,0,0.0
1stFlrSF,0,0.0
CentralAir,0,0.0
Heating,0,0.0
Foundation,0,0.0
MSSubClass,0,0.0
