,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Total_SF,Total_Bathrooms,Total_porch_sf
0,10,5.0,65.0,8450,9.0,0.0,9.0,7.0,9.0,2.0,3.0,5,2,2,2.0,5,7,5,110,53,5.0,1,12,13,1,5.2832037287379885,4.0,3.0,6.0,4.0,3.0,1.0,6.0,706.0,1.0,0.0,150.0,6.75343791859778,1,5.0,1,4,6.75343791859778,854,0,7.444833273892193,1.0,0.0,2,1,3,1,4.0,8,6,0,0.0,1,95,2.0,2.0,548.0,3.0,3.0,2,0.0,4.127134385045092,0,0,0,0,0.0,4,1,0,4,2,8,6.0,7.8504931808711405,3.5,61
1,5,5.0,80.0,9600,9.0,0.0,9.0,7.0,9.0,7.0,3.0,24,1,2,2.0,2,6,8,83,26,5.0,1,8,8,2,0.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,978.0,1.0,0.0,284.0,7.141245122350491,1,5.0,1,4,7.141245122350491,0,0,7.141245122350491,0.0,1.0,2,0,3,1,3.0,6,6,1,3.0,1,68,2.0,2.0,460.0,3.0,3.0,2,5.700443573390687,0.0,0,0,0,0,0.0,4,1,0,7,1,8,6.0,7.83399634170946,2.5,298
2,10,5.0,68.0,11250,9.0,0.0,7.0,7.0,9.0,2.0,3.0,5,2,2,2.0,5,7,5,108,52,5.0,1,12,13,1,5.093750200806762,4.0,3.0,6.0,4.0,3.0,2.0,6.0,486.0,1.0,0.0,434.0,6.825460036255307,1,5.0,1,4,6.825460036255307,866,0,7.488293515159428,1.0,0.0,2,1,3,1,4.0,6,6,1,3.0,1,93,2.0,2.0,608.0,3.0,3.0,2,0.0,3.7612001156935624,0,0,0,0,0.0,4,1,0,11,2,8,6.0,7.903596289614301,3.5,42
3,11,5.0,60.0,9550,9.0,0.0,7.0,7.0,9.0,4.0,3.0,6,2,2,2.0,5,7,5,25,20,5.0,1,13,15,2,0.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,216.0,1.0,0.0,540.0,6.6293632534374485,1,4.0,1,4,6.8690144506657065,756,0,7.4489161025442,1.0,0.0,1,0,3,1,4.0,7,6,1,4.0,5,90,1.0,3.0,642.0,3.0,3.0,2,0.0,3.58351893845611,272,0,0,0,0.0,4,1,0,4,0,8,5.0,7.813591552952433,2.0,307
4,10,5.0,84.0,14260,9.0,0.0,7.0,7.0,9.0,7.0,3.0,15,2,2,2.0,5,8,5,107,50,5.0,1,12,13,1,5.860786223465865,4.0,3.0,6.0,4.0,3.0,3.0,6.0,655.0,1.0,0.0,490.0,7.044032897274685,1,5.0,1,4,7.044032897274685,1053,0,7.695757990554761,1.0,0.0,2,1,4,1,4.0,9,6,1,3.0,1,92,2.0,3.0,836.0,3.0,3.0,2,5.262690188904886,4.442651256490317,0,0,0,0,0.0,4,1,0,3,2,8,6.0,8.114922974204593,3.5,276
5,9,5.0,85.0,14115,9.0,0.0,7.0,7.0,9.0,2.0,3.0,11,2,2,2.0,0,5,5,100,45,5.0,1,12,13,2,0.0,3.0,3.0,1.0,4.0,3.0,1.0,6.0,732.0,1.0,0.0,64.0,6.680854678790215,1,5.0,1,4,6.680854678790215,566,0,7.217443431696533,1.0,0.0,1,1,1,1,3.0,5,6,0,0.0,1,85,1.0,2.0,480.0,3.0,3.0,2,3.713572066704308,3.4339872044851463,0,320,0,0,0.0,2,3,700,1,3,8,6.0,7.677400430514807,2.5,390
6,5,5.0,75.0,10084,9.0,0.0,9.0,7.0,9.0,2.0,3.0,21,2,2,2.0,2,8,5,111,55,5.0,1,12,13,3,5.231108616854587,4.0,3.0,6.0,5.0,3.0,3.0,6.0,1369.0,1.0,0.0,317.0,7.430707082545968,1,5.0,1,4,7.43543801981455,0,0,7.43543801981455,1.0,0.0,2,0,3,1,4.0,7,6,1,4.0,1,96,2.0,2.0,636.0,3.0,3.0,2,5.545177444479562,4.060443010546419,0,0,0,0,0.0,4,1,0,10,1,8,6.0,8.125926802707886,3.0,312
7,10,5.0,0.0,10382,9.0,0.0,7.0,7.0,9.0,4.0,3.0,14,4,2,2.0,5,7,6,80,23,5.0,1,6,6,3,5.484796933490655,3.0,3.0,5.0,4.0,3.0,2.0,5.0,859.0,4.0,32.0,216.0,7.010311867307229,1,5.0,1,4,7.010311867307229,983,0,7.645397699428633,1.0,0.0,2,1,3,1,3.0,7,6,2,3.0,1,65,2.0,2.0,484.0,3.0,3.0,2,5.4638318050256105,5.3230099791384085,228,0,0,0,0.0,4,3,350,2,3,8,6.0,8.0702808933939,3.5,667
8,9,8.0,51.0,6120,9.0,0.0,9.0,7.0,9.0,2.0,3.0,17,0,2,2.0,0,7,5,41,0,5.0,1,3,15,2,0.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,952.0,6.859614903654202,1,4.0,1,1,6.930494765951626,752,0,7.4815557019095165,0.0,0.0,2,0,2,2,3.0,8,2,2,3.0,5,24,1.0,2.0,468.0,2.0,3.0,2,4.51085950651685,0.0,205,0,0,0,0.0,4,1,0,6,2,8,5.0,7.910957382845589,2.0,295
9,4,5.0,50.0,7420,9.0,0.0,9.0,7.0,9.0,4.0,3.0,3,0,0,4.0,1,5,6,48,0,5.0,1,8,8,2,0.0,3.0,3.0,4.0,3.0,3.0,1.0,6.0,851.0,1.0,0.0,140.0,6.899723107284872,1,5.0,1,4,6.982862751468942,0,0,6.982862751468942,1.0,0.0,1,0,2,2,3.0,5,6,2,3.0,1,32,2.0,1.0,205.0,4.0,3.0,2,0.0,1.6094379124341003,0,0,0,0,0.0,4,1,0,0,2,8,6.0,7.634820677745543,2.0,4
