,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Total_SF,Total_Bathrooms,Total_porch_sf,Alley_0,Alley_3,Alley_6,Utilities_7,Utilities_9,BldgType_2,BldgType_4,BldgType_5,BldgType_7,ExterQual_2,ExterQual_3,ExterQual_4,ExterQual_5,BsmtQual_0,BsmtQual_2,BsmtQual_3,BsmtQual_4,BsmtQual_5,BsmtCond_0,BsmtCond_1,BsmtCond_2,BsmtCond_3,BsmtCond_4,BsmtExposure_0,BsmtExposure_1,BsmtExposure_2,BsmtExposure_3,BsmtExposure_5,BsmtFinType1_0,BsmtFinType1_1,BsmtFinType1_2,BsmtFinType1_3,BsmtFinType1_4,BsmtFinType1_5,BsmtFinType1_6,BsmtFinType2_0,BsmtFinType2_1,BsmtFinType2_2,BsmtFinType2_3,BsmtFinType2_4,BsmtFinType2_5,BsmtFinType2_6,KitchenQual_2,KitchenQual_3,KitchenQual_4,KitchenQual_5,FireplaceQu_0,FireplaceQu_1,FireplaceQu_2,FireplaceQu_3,FireplaceQu_4,FireplaceQu_5,GarageFinish_0,GarageFinish_1,GarageFinish_2,GarageFinish_3,GarageQual_0,GarageQual_1,GarageQual_2,GarageQual_3,GarageQual_4,GarageQual_5,GarageCond_0,GarageCond_1,GarageCond_2,GarageCond_3,GarageCond_4,GarageCond_5,PoolQC_0,PoolQC_2,PoolQC_4,PoolQC_5,SalePrice
0,10,5,65.0,8450,9,9,7,2,3,5,2,2,5,7,5,110,53,5,1,12,13,1,196.0,3,6,706.0,0.0,150.0,856.0,1,5,1,4,856,854,0,1710,1.0,0.0,2,1,3,1,8,6,0,1,95,2.0,548.0,2,0,61,0,0,0,0,4,1,0,4,2,8,6,2566.0,3.5,61,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,208500
1,5,5,80.0,9600,9,9,7,7,3,24,1,2,2,6,8,83,26,5,1,8,8,2,0.0,3,5,978.0,0.0,284.0,1262.0,1,5,1,4,1262,0,0,1262,0.0,1.0,2,0,3,1,6,6,1,1,68,2.0,460.0,2,298,0,0,0,0,0,4,1,0,7,1,8,6,2524.0,2.5,298,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,181500
2,10,5,68.0,11250,9,7,7,2,3,5,2,2,5,7,5,108,52,5,1,12,13,1,162.0,3,6,486.0,0.0,434.0,920.0,1,5,1,4,920,866,0,1786,1.0,0.0,2,1,3,1,6,6,1,1,93,2.0,608.0,2,0,42,0,0,0,0,4,1,0,11,2,8,6,2706.0,3.5,42,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,223500
3,11,5,60.0,9550,9,7,7,4,3,6,2,2,5,7,5,25,20,5,1,13,15,2,0.0,3,4,216.0,0.0,540.0,756.0,1,4,1,4,961,756,0,1717,1.0,0.0,1,0,3,1,7,6,1,5,90,3.0,642.0,2,0,35,272,0,0,0,4,1,0,4,0,8,5,2473.0,2.0,307,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,140000
4,10,5,84.0,14260,9,7,7,7,3,15,2,2,5,8,5,107,50,5,1,12,13,1,350.0,3,6,655.0,0.0,490.0,1145.0,1,5,1,4,1145,1053,0,2198,1.0,0.0,2,1,4,1,9,6,1,1,92,3.0,836.0,2,192,84,0,0,0,0,4,1,0,3,2,8,6,3343.0,3.5,276,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,250000
5,9,5,85.0,14115,9,7,7,2,3,11,2,2,0,5,5,100,45,5,1,12,13,2,0.0,3,1,732.0,0.0,64.0,796.0,1,5,1,4,796,566,0,1362,1.0,0.0,1,1,1,1,5,6,0,1,85,2.0,480.0,2,40,30,0,320,0,0,2,3,700,1,3,8,6,2158.0,2.5,390,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,143000
6,5,5,75.0,10084,9,9,7,2,3,21,2,2,2,8,5,111,55,5,1,12,13,3,186.0,3,6,1369.0,0.0,317.0,1686.0,1,5,1,4,1694,0,0,1694,1.0,0.0,2,0,3,1,7,6,1,1,96,2.0,636.0,2,255,57,0,0,0,0,4,1,0,10,1,8,6,3380.0,3.0,312,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,307000
7,10,5,0.0,10382,9,7,7,4,3,14,4,2,5,7,6,80,23,5,1,6,6,3,240.0,3,5,859.0,32.0,216.0,1107.0,1,5,1,4,1107,983,0,2090,1.0,0.0,2,1,3,1,7,6,2,1,65,2.0,484.0,2,235,204,228,0,0,0,4,3,350,2,3,8,6,3197.0,3.5,667,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,200000
8,9,8,51.0,6120,9,9,7,2,3,17,0,2,0,7,5,41,0,5,1,3,15,2,0.0,3,4,0.0,0.0,952.0,952.0,1,4,1,1,1022,752,0,1774,0.0,0.0,2,0,2,2,8,2,2,5,24,2.0,468.0,2,90,0,205,0,0,0,4,1,0,6,2,8,5,2726.0,2.0,295,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,129900
9,4,5,50.0,7420,9,9,7,4,3,3,0,0,1,5,6,48,0,5,1,8,8,2,0.0,3,4,851.0,0.0,140.0,991.0,1,5,1,4,1077,0,0,1077,1.0,0.0,1,0,2,2,5,6,2,1,32,1.0,205.0,2,0,4,0,0,0,0,4,1,0,0,2,8,6,2068.0,2.0,4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,118000
